Ticker,Date,Share_Price_D-1,Share_Price_D1,Share_Price_D5,Perc_Return_D1,Perc_Return_D5,XBI_Price_D-1,XBI_Price_D1,XBI_Price_D5,XBI_Return_D1,XBI_Return_D5,row_id
CMPX,8/12/2024,1.09,1.13,1.19,0.036697248,0.091743119,95.54,96.95,100.85,0.014758216,0.055578815,1721
SYRS,8/12/2024,5.07,5.01,1.74,-0.01183432,-0.656804734,95.54,96.95,100.85,0.014758216,0.055578815,1722
CATX,8/12/2024,12.02,12.09,14.16,0.005823627,0.178036606,95.54,96.95,100.85,0.014758216,0.055578815,1723
VCNX,8/12/2024,4.58,4.79,5.13,0.045851528,0.120087336,95.54,96.95,100.85,0.014758216,0.055578815,1724
ATAI,8/13/2024,1.24,1.22,1.31,-0.016129032,0.056451613,95.81,96.09,100.83,0.002922451,0.052395366,1725
PSTV,8/13/2024,1.41,1.49,1.55,0.056737589,0.09929078,95.81,96.09,100.83,0.002922451,0.052395366,1726
ALMS,8/13/2024,11.99,12.54,13,0.04587156,0.084236864,95.81,96.09,100.83,0.002922451,0.052395366,1727
SLS,8/13/2024,1.18,1.19,1.31,0.008474576,0.110169492,95.81,96.09,100.83,0.002922451,0.052395366,1728
KZR,8/13/2024,5.909,5.802,6.005,-0.018107971,0.016246404,95.81,96.09,100.83,0.002922451,0.052395366,1729
ANTX,8/13/2024,1.03,1.09,1.05,0.058252427,0.019417476,95.81,96.09,100.83,0.002922451,0.052395366,1730
VRCA,8/14/2024,52.7,31.2,29.1,-0.407969639,-0.447817837,96.95,97.71,101.82,0.007839092,0.050232078,1731
GILD,8/14/2024,73.98,74.14,75.13,0.002162747,0.015544742,96.95,97.71,101.82,0.007839092,0.050232078,1732
SNDX,8/14/2024,19.87,19.58,20.32,-0.014594867,0.022647207,96.95,97.71,101.82,0.007839092,0.050232078,1733
INCY,8/14/2024,62.02,61.18,64.15,-0.013544018,0.03434376,96.95,97.71,101.82,0.007839092,0.050232078,1734
LYRA,8/14/2024,14.995,14.33,16.745,-0.044348116,0.116705569,96.95,97.71,101.82,0.007839092,0.050232078,1735
SIGA,8/15/2024,11.97,9.62,9.34,-0.196324144,-0.219715957,96.09,97.77,100.14,0.017483609,0.042147986,1736
VCEL,8/15/2024,45.31,46.14,47.5,0.018318252,0.048333701,96.09,97.77,100.14,0.017483609,0.042147986,1737
MDWD,8/15/2024,17.47,18.17,18.77,0.040068689,0.07441328,96.09,97.77,100.14,0.017483609,0.042147986,1738
XNCR,8/15/2024,15.73,16.03,16.67,0.019071837,0.059758423,96.09,97.77,100.14,0.017483609,0.042147986,1739
NVS,8/15/2024,6.3,6.01,6.09,-0.046031746,-0.033333333,96.09,97.77,100.14,0.017483609,0.042147986,1740
INCY,8/15/2024,61.18,61.68,63.02,0.008172605,0.030075188,96.09,97.77,100.14,0.017483609,0.042147986,1741
